시설명,도로명주소,지번주소,위도,경도,저류조 용량,이용용도,데이터기준일자
효성해링턴플레이스 2단지,경기도 평택시 소사3로 22,,36.987411 ,127.129658 ,1000,조경용수,2024-07-30
더샵지제역센트럴파크 3블럭,경기도 평택시 동삭1로22번길 40,,37.016099 ,127.093232 ,462,조경용수,2024-07-30
평택힐스테이트 2차,경기도 평택시 세교6로 45,경기도 평택시 세교동 597,37.009950 ,127.086697 ,518,조경용수,2024-07-30
소사벌 효성해링턴코트,경기도 평택시 죽백8길 37,경기도 평택시 죽백동 766,37.006831 ,127.119152 ,1300,조경용수,2024-07-30
비전지웰 테라스하우스,경기도 평택시 용죽6길 64,경기도 평택시 용이동 661,36.996280 ,127.127966 ,743,조경용수,2024-07-30
센트럴자이 3단지,경기도 평택시 상서재로 55,경기도 평택시 동삭동 852,37.020556 ,127.097676 ,960,조경용수,2024-07-30
고덕하늘채시그니처아파트,경기도 평택시 고덕면 효덕새싹길 55,경기도 평택시 고덕면 궁리 523,37.020086 ,127.034488 ,1020,조경용수,2024-07-30
더샵지제역센트럴파크 2블럭,경기도 평택시 지제동삭1로 163,,37.016099 ,127.093232 ,526,조경용수,2024-07-30
더샵지제역센트럴파크 1블럭,경기도 평택시 지제동삭2로 177,,37.016099 ,127.093232 ,777,조경용수,2024-07-30
힐스테이트 지제역,경기도 평택시 지제동삭3로 14,,37.010107 ,127.081045 ,563,조경용수,2024-07-30
평택역 SK VIEW,경기도 평택시 고평로 50,,36.995242 ,127.077019 ,600,조경용수,2024-07-30
장당동 오피스텔(PPO),경기도 평택시 경기대로 945,경기도 평택시 장당동 154,37.034290 ,127.069067 ,640,조경용수,2024-07-30
뉴비전엘크루,경기도 평택시 소사7로 8,,36.984952 ,127.128745 ,384,조경용수,2024-07-30
지제더샵센트럴시티,경기도 평택시 지제동삭1로 41,,37.017874 ,127.066074 ,866,조경용수,2024-07-30
모산영신지구 A3블럭 (지제e편한세상),경기도 평택시 지제동삭1로 220,,37.016099 ,127.093232 ,628,조경용수,2024-07-30
고덕국제화지구 A-54BL(고덕금호어울림),경기도 평택시 고덕로 191,경기도 평택시 고덕동 2706-1,37.033839 ,127.021827 ,741,조경용수,2024-07-30
평택항 국제여객터미널,경기도 평택시 포승읍 평택항만길 75,경기도 평택시 포승읍 만호리 570-2,36.957112 ,126.846289 ,265,조경용수,2024-07-30
수원지방검찰청 평택지청,경기도 평택시 평남로 1036,경기도 평택시 동삭동 663,37.010465 ,127.096225 ,70,조경용수,2024-07-30
에코센터(오썸플렉스),경기도 평택시 고덕면 도시지원1길 91,경기도 평택시 고덕면 해창리 1266,37.029443 ,127.014577 ,160,조경용수,2024-07-30
청옥초등학교,경기도 평택시 청북읍 안청로1길 76,경기도 평택시 청북읍 옥길리 1103,37.019021 ,126.911957 ,20,조경용수,2024-07-30
고덕 파라곤,경기도 평택시 고덕국제대로 180,경기도 평택시 고덕동 1904-2,37.052404 ,127.044609 ,230,조경용수,2024-07-30
중흥S클라스 아파트,경기도 평택시 비전3로 115,경기도 평택시 죽백동 721,37.008470 ,127.111324 ,513,조경용수,2024-07-30
평택 e-편한세상아파트,경기도 평택시 신흥1로 67,경기도 평택시 용이동 737,37.002373 ,127.142660 ,693,조경용수,2024-07-30
용이초등학교,경기도 평택시 현신7길 36,경기도 평택시 용이동 482,36.999899 ,127.146756 ,30,조경용수,2024-07-30
비전고등학교,경기도 평택시 비전3로 12,경기도 평택시 비전동 1088,37.000726 ,127.105470 ,15,조경용수,2024-07-30
반지초등학교,경기도 평택시 이충로 7,경기도 평택시 이충동 683,37.057709 ,127.069683 ,5,조경용수,2024-07-30
청북고등학교,경기도 평택시 청북읍 안청로4길 55,경기도 평택시 청북읍 옥길리 1145,37.022414 ,126.919763 ,20,조경용수,2024-07-30
이충고등학교,경기도 평택시 이충로35번길 50,경기도 평택시 이충동 657,37.057270 ,127.064916 ,25,조경용수,2024-07-30
도쿄일렉트론코리아㈜,경기도 평택시 고덕중앙로 304,경기도 평택시 고덕동 2047-2,37.044624 ,127.053642 ,41,조경용수,2024-07-30
평택휴게소,경기도 평택시 청북읍 평택제천고속도로 6,경기도 평택시 청북읍 현곡리 73-18,37.045010 ,126.944379 ,75,조경용수,2024-07-30
오뚜기라면,경기도 평택시 안중읍 서해로 1427,경기도 평택시 안중읍 용성리 70-4,37.019806 ,126.942836 ,100,조경용수,2024-07-30
삼진폴리텍,경기도 평택시 청북읍 청북로 435-58,경기도 평택시 청북읍 율북리 3-59,37.072358 ,126.970740 ,5,냉각용수,2024-07-30
MRO 평택 중앙 HUB센터,경기도 평택시 진위면 진위2산단로 45,경기도 평택시 진위면 갈곶리 729-1,37.122774 ,127.070586 ,140,조경용수,2024-07-30
삼성웰스토리 평택물류,경기도 평택시 서탄면 수월암5길 16,경기도 평택시 서탄면 수월암리 2020,37.116872 ,127.022243 ,520,조경용수,2024-07-30
아라트리움 아리스타,경기도 평택시 탄현로 348,경기도 평택시 지산동 735-4,37.082918 ,127.057301 ,30,조경용수,2024-07-30
죽백동 풋살장,경기도 평택시 비전3로 167-41,경기도 평택시 죽백동 729-2,37.009824 ,127.118640 ,146,조경용수,2024-07-30
평택포승물류센터,경기도 평택시 포승읍 황해희곡2로 51,경기도 평택시 포승읍 희곡리 847번지,36.953542 ,126.867292 ,20,조경용수,2024-07-30
힐스테이트 평택더퍼스트,경기도 평택시 서정북로 100,경기도 평택시 서정동 780,37.070743 ,127.060193 ,802.66,조경용수,2024-07-30
고덕국제화지구 Ebc-1BL(고덕스카이시티),경기도 평택시 고덕국제대로 99,경기도 평택시 고덕동 2618-1,37.044476 ,127.040310 ,605.6,조경용수,2024-07-30
고덕국제화지구 Ebc-2BL(힐스테이트고덕센트럴),경기도 평택시 고덕국제대로77,경기도 평택시 고덕동 2618-3,37.043971 ,127.042457 ,828.48,조경용수,2024-07-30
