,Index,Suvived,Predicted
0,736,0,0
1,421,0,0
2,442,0,0
3,196,0,0
4,200,0,0
5,871,1,1
6,286,1,0
7,112,0,0
8,825,0,0
9,264,0,1
10,636,0,0
11,351,0,0
12,608,1,1
13,511,0,0
14,661,0,0
15,717,1,1
16,136,1,1
17,733,0,0
18,684,0,0
19,63,0,0
20,65,1,0
21,754,1,1
22,514,0,0
23,652,0,0
24,699,0,0
25,346,1,1
26,321,0,0
27,648,0,0
28,206,0,0
29,861,0,0
30,777,1,1
31,347,1,0
32,799,0,0
33,735,0,0
34,51,0,0
35,70,0,0
36,391,1,0
37,477,0,0
38,254,0,0
39,706,1,1
40,298,1,0
41,235,0,1
42,371,0,0
43,308,0,0
44,749,0,0
45,670,1,1
46,723,0,0
47,696,0,0
48,783,0,0
49,335,0,0
50,667,0,0
51,257,1,1
52,114,0,1
53,295,0,1
54,588,0,0
55,58,1,1
56,548,0,0
57,21,1,0
58,678,0,0
59,273,0,1
60,472,1,1
61,559,1,0
62,509,1,0
63,147,0,1
64,388,0,0
65,219,0,0
66,10,1,1
67,322,1,1
68,85,1,0
69,874,1,1
70,46,0,0
71,145,0,0
72,566,0,0
73,687,0,0
74,405,0,0
75,416,1,1
76,413,0,0
77,831,1,0
78,704,0,0
79,195,1,1
80,18,0,0
81,108,0,0
82,823,1,1
83,98,1,1
84,417,1,1
85,411,0,0
86,480,0,0
87,435,1,1
88,157,0,0
89,4,0,0
90,299,1,1
91,647,1,0
92,476,0,0
93,390,1,0
94,473,1,1
95,763,1,1
96,695,0,0
97,265,0,0
98,237,1,1
99,320,0,0
100,664,1,0
101,501,0,1
102,610,0,0
103,593,0,1
104,842,1,1
105,260,0,0
106,156,1,1
107,868,0,0
108,363,0,0
109,884,0,0
110,408,0,0
111,426,1,1
112,632,1,1
113,380,1,1
114,540,1,1
115,703,0,0
116,94,0,0
117,482,0,0
118,497,0,0
119,860,0,0
120,461,0,0
121,544,0,0
122,135,0,0
123,392,0,0
124,214,0,0
125,279,1,0
126,52,1,1
127,641,1,1
128,685,0,0
129,393,1,1
130,740,1,0
131,680,0,1
132,44,1,1
133,433,0,0
134,101,0,0
135,127,1,0
136,367,1,1
137,215,1,1
138,498,0,1
139,570,1,0
140,761,0,0
141,246,0,1
142,631,0,0
143,381,1,1
144,115,0,0
145,189,0,0
146,216,1,1
147,233,1,0
148,0,0,0
149,37,0,0
150,758,0,0
151,297,0,1
152,275,1,1
153,832,0,0
154,508,0,0
155,745,0,0
156,329,1,1
157,573,1,1
158,522,0,0
159,291,1,1
160,269,1,1
161,484,1,1
162,541,0,0
163,810,0,0
164,859,0,0
165,787,0,0
166,168,0,0
167,172,1,1
168,259,1,1
169,454,0,0
170,741,0,0
171,319,1,1
172,45,0,0
173,513,1,1
174,603,0,0
175,750,1,1
176,185,0,0
177,644,1,1
178,815,0,0
